iter	TotalF1:average=Macro	MultiClass
0	0.9636333717	1.045443032
1	0.9636333717	0.9960008415
2	0.9635881183	0.9506497592
3	0.963598999	0.9087541197
4	0.963647724	0.8698551077
5	0.9637565343	0.8338140614
6	0.9637987958	0.8000936207
7	0.9637433656	0.7685891787
8	0.963748375	0.7390056635
9	0.9637742943	0.7115952254
10	0.9637865982	0.6856022226
11	0.9637707917	0.6608765569
12	0.9636973562	0.6376729856
13	0.9636398065	0.6156982671
14	0.9636620572	0.5948990767
15	0.9636603261	0.5750883493
16	0.9636487047	0.5562738972
17	0.9636380605	0.5384109837
18	0.9636724226	0.5214104706
19	0.9636365367	0.5052995711
20	0.9636167623	0.4898419647
21	0.9636167623	0.4750983723
22	0.9636620358	0.4610897748
23	0.9636116115	0.4477980008
24	0.9636318964	0.435005899
25	0.9636600906	0.4228201775
26	0.9636531658	0.4111466592
27	0.9636326375	0.3999591555
28	0.9637167258	0.3891086881
29	0.9637305754	0.3788214721
30	0.9637582748	0.3690087272
31	0.9637755869	0.3597074298
32	0.9637899234	0.3509610321
33	0.9639153195	0.3421176032
34	0.9639056714	0.3337743058
35	0.9638809453	0.3258162118
36	0.9640535737	0.3179341436
37	0.9643184359	0.3103688183
38	0.9641878585	0.3032606669
39	0.9645177456	0.2963330959
40	0.9645771023	0.2896367953
41	0.9645128123	0.2833888827
42	0.9644895811	0.2773346675
43	0.9644725005	0.2713966498
44	0.9645681824	0.265700428
45	0.9646537335	0.2602411536
46	0.9646792163	0.2548608501
47	0.9649032292	0.2496387144
48	0.9648611873	0.2447334795
49	0.9649393178	0.2400295959
50	0.9649783825	0.2355045986
51	0.9650261042	0.2308255693
52	0.9651445412	0.2263695372
53	0.9654360541	0.2221790174
54	0.9653665894	0.2183324418
55	0.9653752472	0.2145198105
56	0.9654073825	0.2106852048
57	0.96548945	0.2069352426
58	0.9655089801	0.2033007931
59	0.9655823859	0.1998319579
60	0.9655875808	0.1964794912
61	0.9656523252	0.1931614766
62	0.9656683907	0.1902518067
63	0.9657262043	0.1872883171
64	0.9658581816	0.1843831539
65	0.9658438494	0.1818942087
66	0.9658473128	0.1792093421
67	0.965924645	0.1764763794
68	0.9659312719	0.1739150238
69	0.9659243449	0.1714917734
70	0.965910014	0.1690788959
71	0.965992058	0.1668352692
72	0.9659811911	0.1647120503
73	0.9659582017	0.162654898
74	0.9659676385	0.1607372451
75	0.9659755192	0.1586913895
76	0.9660909413	0.1566337717
77	0.9660644888	0.1547902034
78	0.966147785	0.1530029396
79	0.9662063597	0.1512390465
80	0.966210298	0.1495065134
81	0.9661890416	0.1481314942
82	0.9662550168	0.146482539
83	0.9663635012	0.1448699513
84	0.9663760974	0.143388089
85	0.9663891662	0.1419410166
86	0.9663948345	0.1404937888
87	0.9663757839	0.139197436
88	0.9663896388	0.1379068855
89	0.9664000301	0.136651505
90	0.9663896388	0.1353632011
91	0.9663809795	0.1342566668
92	0.9663918431	0.1330847802
93	0.9664464758	0.1318836907
94	0.9664499396	0.1308003901
95	0.9664252211	0.1297846656
96	0.9664321486	0.1287443843
97	0.9664578109	0.1278429938
98	0.9664612747	0.1269545554
99	0.9664768618	0.1260137899
100	0.9664959126	0.1250520878
101	0.9664976445	0.1241179031
102	0.9664751299	0.1233514168
103	0.9664543472	0.1226276769
104	0.9665085076	0.1220369303
105	0.9665440886	0.1211314175
106	0.9665566832	0.1203958142
107	0.9665814011	0.1196444845
108	0.9666147786	0.1190143095
109	0.9666303658	0.1182472731
110	0.9666620113	0.1174801365
